Country Name,Country Code,Series Name,Series Code,Scale (Precision),1990 [YR1990],2000 [YR2000],2010 [YR2010],2021 [YR2021]
Kenya,KEN,"Population, total",SP.POP.TOTL,Millions (0.00),22.89,30.64,41.60,53.22
Kenya,KEN,Population growth (annual %),SP.POP.GROW,Unit (0.0),3.4,3.0,2.9,1.9
Kenya,KEN,Surface area (sq. km),AG.SRF.TOTL.K2,Thousands (0.0),580.4,580.4,580.4,580.4
Kenya,KEN,Population density (people per sq. km of land area),EN.POP.DNST,Unit (0.0),40.2,53.8,73.1,93.5
Kenya,KEN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Unit (0.0),,,,38.6
Kenya,KEN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,Unit (0.0),26.4,25.4,,36.1
Kenya,KEN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Billions (0.00),8.85,13.17,38.75,110.34
Kenya,KEN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Unit (0),390,430,930,2070
Kenya,KEN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Billions (0.00),38.60,57.98,96.20,280.17
Kenya,KEN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Unit (0),1690,1890,2310,5260
Kenya,KEN,Income share held by lowest 20%,SI.DST.FRST.20,Unit (0.0),3.4,5.6,,7.2
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Unit (0),59,54,61,61
Kenya,KEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Unit (0.0),6.1,5.1,4.4,3.3
Kenya,KEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Unit (0),134,121,109,60
Kenya,KEN,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Unit (0),,,,
Kenya,KEN,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Unit (0),,43,,
Kenya,KEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Unit (0),101,96,53,42
Kenya,KEN,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Unit (0.0),19.4,17.1,12.4,9.8
Kenya,KEN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Unit (0),78,78,86,90
Kenya,KEN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Unit (0),,,,
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,Unit (0.0),103.4,94.1,108.6,78.8
Kenya,KEN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,Unit (0),,40,,
Kenya,KEN,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Unit (0),,1,,
Kenya,KEN,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,Unit (0.0),5.5,8.7,5.6,3.9
Kenya,KEN,Forest area (sq. km),AG.LND.FRST.K2,Thousands (0.0),38.6,39.6,36.2,36.1
Kenya,KEN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Unit (0.0),,,,10.5
Kenya,KEN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,Unit (0.0),9.9,7.5,15.5,19.5
Kenya,KEN,Urban population growth (annual %),SP.URB.GROW,Unit (0.0),5.0,4.7,4.6,3.7
Kenya,KEN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Unit (0),468,457,469,
Kenya,KEN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Unit (0),128,109,149,
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,Billions (0.00),8.57,12.71,45.41,109.70
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Unit (0.0),4.2,0.6,8.1,7.6
Kenya,KEN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Unit (0.0),10.6,6.1,1.6,4.3
Kenya,KEN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Unit (0),25,29,18,21
Kenya,KEN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Unit (0),16,15,19,17
Kenya,KEN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Unit (0),26,22,20,11
Kenya,KEN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Unit (0),31,32,30,20
Kenya,KEN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Unit (0),24,17,21,20
Kenya,KEN,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Unit (0.0),,,,17.3
Kenya,KEN,Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Unit (0.0),,,,-8.6
Kenya,KEN,Time required to start a business (days),IC.REG.DURS,Unit (0),,,33,
Kenya,KEN,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Unit (0.0),,,,
Kenya,KEN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Unit (0.0),,,,13.6
Kenya,KEN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Unit (0.0),2.9,1.3,1.4,1.1
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Unit (0.0),0.0,0.4,60.1,122.8
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,Unit (0.0),0.0,0.3,7.2,35.0
Kenya,KEN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Unit (0),,,7,3
Kenya,KEN,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,Unit (0),38,38,38,24
Kenya,KEN,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,Unit (0),70,100,95,92
Kenya,KEN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Millions (0),7055,6147,8885,41219
Kenya,KEN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Unit (0.0),35.4,21.0,4.4,20.4
Kenya,KEN,Net migration,SM.POP.NETM,Thousands (0),-11,5,-21,-53
Kenya,KEN,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,Millions (0),139,538,686,3770
Kenya,KEN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Millions (0),57,111,178,420
Kenya,KEN,Net official development assistance received (current US$),DT.ODA.ODAT.CD,Millions (0.0),1181.3,513.9,1631.3,3176.9
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: WDI Central,,,,,,,,
Last Updated: 03/24/2025,,,,,,,,
